date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sat Aug 25 2018,Anonymous,,Current Employee ,Electronics Engineer,0,"Salary above country standards etc
","Dense working hours many days
Helpfu",,5.0,,,,,,Recommends,,
Tue Oct 27 2020, Asesor Servicio A Clientes/Ventas/Dise&ntilde;o,"Escondido, CA",Current Employee ,good,0,"buen ambiente y tiempo laborables
","mal ambiente falta de higiene
Advice to Management
hola
Helpfu","hola
Helpfu",4.0,4.0,3.0,4.0,3.0,3.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Thu Jan 30 2020, Corporate Sales Recruiter,,Former Employee ,Too big company to be managed,0,"Engineering opportunities, facility, big projects
","Management, lack of leadership, personal relations
Helpfu",,3.0,,,,,,,,
Thu Feb 28 2019, Systems Engineer,,Former Employee ,Overall a good company to be a part of,0,,"derably above average starting salary for new graduates
Working with many highly capable and intellectual individuals
High learning curve for first couple of years
Cons
Sometimes too repetitive tasks assigned
Overtimes can be too frequent
Helpfu",,4.0,,,,,,,,
Thu Jan 31 2019,Anonymous,,Former Employee ,Expert Engineer,0,"Perfect environment for engineering
Good for new grads
Cutting edge tech
","Too many layers of hierarchy 
Long project execution times
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Tue Jun 12 2018, Engineer,,Former Employee ,Program Manager,3,"Good intelligent people to work with. Free Lunch, and dinner if you stay overtime. Prestigious company to be in since everyone knows this technology firm. Some groups get good training, it depends a lot on your manager
","Management is old school. You can feel the hierarchy and lots of politics. You have to work to work. It is tough to get a car just to go to meetings in a different location. 
Tools used can be very old or very new. How you feel in the company depends a lot on your manager and director. Some people are very happy and do little amount of work, while others are doing 70 hours a week.
Advice to Management
Learn to differentiate generations. Learn to inspire and motivate. Think outside the box.
Helpful (3","Learn to differentiate generations. Learn to inspire and motivate. Think outside the box.
",4.0,3.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Mon Apr 24 2017,Anonymous,,Former Employee ,Software Engineer,3,"Friendly working environment
You can learn a lot from senior engineers
Arguably the best R&D company in Turkey
","Lots of dinosaurs
Even though the salary is good for young engineers, it is not satisfying for seniors
Helpful (3",,5.0,5.0,5.0,3.0,5.0,4.0,Recommends,,No opinion of CEO
Thu Sep 22 2016,Anonymous,,Former Employee ,Sold annuities,0,"Good Compensation Plan strong support staff opportunity to grow
","High stress but with major Rewards
Advice to Management
Keep the structure consistent throughout the process
Helpfu","Keep the structure consistent throughout the process
Helpfu",3.0,3.0,4.0,3.0,3.0,1.0,Doesn't Recommend,Positive Outlook,Approves of CEO
Sun Feb 28 2016,N/A,"Palo Alto, CA","Senior Software Engineer in Palo Alto, CA",Nice place to work,1,"Salarry, Transportation, Lunch, Medical insurance
","Hierarchy, lack of competition in the industry
Helpful (1",,4.0,4.0,4.0,4.0,5.0,3.0,,,
Thu Jan 21 2016,N/A,, ,Great place to work,0,"Transportation, lunch, medical insurance, paid leave, kindergarten support
","there is nothing to say for cons
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Mon Apr 13 2015,N/A,, ,working at aselsan,0,"good salary and support for higher education while working full-time
","Too much hierarchy, projects can be too long
Helpfu",,4.0,,,,,,,,
Sun Jul 13 2014,Anonymous,,Current Employee ,Satisfying,0,"Compensation and work life balance
","Mediocre upper management and work engagement
Helpfu",,5.0,5.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Dec 06 2013, Electrical,"Toro Canyon, CA",Current Employee ,"good company, good colleagues",0,"good salary, good standard.over all good
","less growth, HR policies not good
Advice to Management
Should care employees
Helpfu","Should care employees
Helpfu",3.0,3.0,3.0,3.0,3.0,3.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Jan 09 2021, Solicitor,"Luton, East of England, England",Former Employee ,in house,0,"fast pace, live, happy enviroment
","long hours sometimes but its amazing
Helpfu",,5.0,,,,,,,,
Fri Jan 08 2021, Trainee Solicitor,"Milton Keynes, England",Former Employee ,Great,0,"Friendly, quick pace, lovely, growth
","Hard work, long hours, tight timings
Helpfu",,5.0,,,,,,,,
Mon Jan 04 2021, Systems Engineer,Ankara,Current Employee ,Good Job,0,"Many disciplines are involved in Aselsan
","Mechanic, Electronic, Software design are available in Aselsan
Advice to Management
PERFECT
Helpfu","PERFECT
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Sun Jan 03 2021, Senior Software Engineer,,Current Employee ,Good company for engineers,0,"Hires talented engineers in Turkey
","Not as agile for a technology company
Helpfu",,4.0,,,,,,,,
Sun Dec 27 2020, Electronic and Communication Engineer,"London, England",Current Employee ,Good,0,"Good company, i love it
","May be better salary given
Helpfu",,5.0,,,,,,,,
Mon Dec 28 2020, Avionics Software Engineer,Ankara,Current Employee ,Good corporate,0,"Good Salary
Flexible Work Hours
Complex Systems
","Not have too much oppurtunity to improve your skills.
Helpfu",,4.0,,,,,,,,
Tue Dec 08 2020, IC Design Engineer,Ankara,Current Employee ,Best in Ankara,0,"Decent salary and bonuses. Best in Ankara.
","Very far from city center
Helpfu",,4.0,4.0,4.0,2.0,5.0,5.0,,,
Sun Dec 06 2020, Software Engineer,,Current Employee ,salary,0,"it was an amazing exprience
","I learned so many goo things
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Sat Dec 05 2020, Hardware Design Engineer,Ankara,Current Employee ,GENERAL,0,"flexible working hours(with the approval of the manager)
","42.5H working hour per week
15 days vacation per year
wearing mask all day during covid pandemic and no remote work
Helpfu",,4.0,1.0,2.0,1.0,4.0,2.0,Recommends,Positive Outlook,Approves of CEO
Wed Dec 02 2020,Anonymous,Ankara,Current Employee ,-,0,"nice working environment, good location
","none cons experienced yet. It is all good
Helpfu",,5.0,,,,,,,,
Thu Dec 03 2020, Engineer,,Current Employee ,Very good,0,"nice salary and good environment people are helpful
","the lunch is not good and cold
Helpfu",,4.0,,,,,,,,
Sat Nov 28 2020,Anonymous,,Current Employee ,One of the best companies in Turkey for R&D Engineers,0,"Cares about its employees. Organizational structure is really good.
","Sometimes the workflow is going really slow.
Helpfu",,5.0,5.0,4.0,3.0,4.0,4.0,Recommends,Positive Outlook,
Mon Dec 07 2020, Control Systems Engineer,Ankara,Former Employee ,Best place to work in Ankara with few drawbacks,0,"They have shuttles that goes almost everywhere in the city and their meals are delicious.
","There are so many untalented newbies who are only recruited according to their (quite inflated) CGPA from (expensive) private universities without relevant professional experience and that problem causes us to extend most of the design project deadlines.
Advice to Management
Instead of just ranking the newbies according to their grade point of average, HR should pay more attention to graduates' knowledge and skills related to field.
Helpfu","Instead of just ranking the newbies according to their grade point of average, HR should pay more attention to graduates' knowledge and skills related to field.
Helpfu",3.0,4.0,2.0,3.0,2.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Nov 16 2020, Country Manager,Ankara,Current Employee ,Great Place to Work,0,"Salary, Benefits, Job Description, Working environment
","Sectoral processes are too slow due to the nature of the job
Helpfu",,4.0,3.0,4.0,4.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 15 2020, Senior Design Engineer,,Current Employee ,The Best Engineering Company in Ankara,0,"High Salary, Moderate Working Hours, Strong Fringe Benefits, Strong Support for Graduate Studies, Engineering Satisfaction
","Inadequate Covid-19 Precautions, No Remote-Working Option,Not Enough Supervising(Sometimes), Not Enough Career Planning Procedure
Helpfu",,5.0,4.0,4.0,4.0,4.0,5.0,Recommends,Positive Outlook,
Wed Nov 25 2020, Senior Engineer,Ankara,Current Employee ,Its getting worse,0,"Simple work load
Good enough salary
Wide range of interests
","Little to no project management
Most of the jobs are for knowledge transfer
Lack of interest and communication from high level management to employees
Helpfu",,2.0,2.0,1.0,1.0,4.0,4.0,,,
Tue Nov 17 2020, Design Engineer,Ankara,Current Employee ,Good place to work,0,"open minded young and dynamic staff
","too much work and bad planning
Helpfu",,3.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sun Nov 01 2020, Software Engineer,Ankara,Current Employee ,good work-life balance,0,"Good working hours, good salary
","Stable work environment, carrier planning is not very well
Helpfu",,5.0,4.0,3.0,2.0,2.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Wed Nov 11 2020, Senior Engineer,Ankara,Former Employee ,Poor environment for working,0,"Salary, working in R&D, free lunch and transportation.
","Unfair promotion system, bad managers, unreliable people etc.
Helpfu",,2.0,2.0,2.0,1.0,2.0,4.0,Doesn't Recommend,,
Sun Nov 01 2020, Software Engineer,Ankara,Current Employee ,Good company,0,"meaningful job, technical challenges to grow the career
","stressful environment, no work life balance
Helpfu",,3.0,2.0,3.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Thu Oct 08 2020, Design Engineer,Ankara,Current Employee ,Review,0,"The company has wide working areas in Electronics. It is one of the most desired company in Turkey.
","The campus is far from the city center.
Helpfu",,4.0,3.0,4.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Fri Oct 09 2020, Embedded Software Engineer,Ankara,Former Employee ,High project quality,0,"Large scaled projects are satisfying and educative. 
Competitive salary.
","Quality of the enviroment strongly depend on the teams and leaders. There are many unqualified team leaders which dramaticaly decreases the technical satisfaction.
Advice to Management
Choose team leaders among people who have strong bacground in corresponding areas.
Helpfu","Choose team leaders among people who have strong bacground in corresponding areas.
Helpfu",4.0,2.0,5.0,5.0,5.0,5.0,,,
Fri Oct 02 2020, ELECTRICAL and ELECTRONICS ENGINEER,Ankara,Current Employee ,Best company for new graduate students,0,"Good sallary and flexible work hours
","slow process, bad location and buildings
Helpfu",,4.0,3.0,2.0,1.0,4.0,3.0,Recommends,Positive Outlook,No opinion of CEO
Wed Sep 30 2020, Product Support Engineer,Ankara,Current Employee ,its ok,0,"Largest company in the country
","Nothing in particular to say.
Helpfu",,4.0,4.0,4.0,3.0,4.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Sep 29 2020, Technical Leader,Ankara,Former Employee ,Very challenging and career building,0,"Huge variety of technical facilities
","Stressful project calendars in some terms
Helpfu",,4.0,4.0,4.0,5.0,4.0,4.0,,,
Sun Sep 27 2020, Control Engineer,Ankara,Current Employee ,Review,0,"good company to work in Turkey
","cumbersome company in several fields
Helpfu",,4.0,4.0,4.0,5.0,5.0,4.0,Recommends,,
Sat Sep 19 2020, Production and Test Engineer,,Current Employee ,Aselsan,0,"Instutative company. The conditions are one of the best at Ankara.
","Monotones. The award system does not work fair.
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,,,
Fri Sep 25 2020, Expert Engineer,Ankara,Current Employee ,Not bad,0,"Friendship improvement Salary Good for beginners Large company
","Not enough time for R&D
Helpfu",,2.0,,,,,,,,
Fri Sep 04 2020, Electronics Technician,,Current Employee ,Electronics Technician,0,"Bonus, staff service, lunch etc.
","Hierarchy, Low chances of career opportunities
Helpfu",,4.0,4.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Wed Aug 19 2020, Senior Hardware Engineer,Ankara,Current Employee ,Best in Defense sector,0,"Exciting projects, talented engineers, flexible working hours, self development opportunities
","bureaucratic, slow work flows, overcrowded old facilities
Helpfu",,4.0,5.0,4.0,5.0,5.0,3.0,Recommends,Positive Outlook,Approves of CEO
Tue Aug 18 2020,Anonymous,,Current Employee ,Design Engineer,0,"Good place to improve yourself
","Not much career making opportunity
Helpfu",,5.0,3.0,4.0,3.0,5.0,4.0,Recommends,Positive Outlook,Approves of CEO
Tue Aug 18 2020, Hardware Engineer,Ankara,Current Employee ,nice place to work,0,"the best thing is that It's the highest paying company in Turkey
","as far as I saw, there was some technicians that made our job struggling, I didnt llike how they do their jobs
Helpfu",,4.0,3.0,5.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Mon Aug 17 2020,Anonymous,Ankara,Current Employee ,Great company,0,"The biggest defence industry company in Turkey
","there is no downside of working here
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Mon Aug 17 2020,Anonymous,Ankara,Former Employee ,Good,0,"They give the best salary in the country
","Upper management sucks, deadlines are not real, unnecessary pressure
Helpfu",,4.0,3.0,4.0,4.0,5.0,1.0,Recommends,Positive Outlook,Disapproves of CEO
