date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Sun Nov 01 2020, Data Analyst,"New York, NY",Former Employee ,Average,0,"#1 Aviation Company in Turkey
","Not a dynamic company. Slow work processes
Helpfu",,3.0,1.0,2.0,1.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,
Wed Jan 06 2021, Engineer,,Current Employee ,Good Company to Work,0,"lots of thing to learn, good salary for juniors
","long working hours, long commute time
Helpfu",,5.0,,,,,,,,
Tue Jan 05 2021, Material and Process Engineer,Ankara,Current Employee ,M&P,0,"Exciting , engineering, projects are cool
","Bad location, bad managers and hectic work environment
Advice to Management
Change yourself
Helpfu","Change yourself
Helpfu",4.0,2.0,4.0,2.0,2.0,4.0,Doesn't Recommend,Neutral Outlook,
Tue Dec 22 2020, Procurement Specialist,Ankara,Former Employee ,Good,0,"Salary, lunch, free shuttle service
","Too much Engineers working for company
Helpfu",,4.0,3.0,5.0,2.0,3.0,4.0,Recommends,Positive Outlook,
Sun Dec 13 2020, Human Resources Coordinator,Ankara,Current Employee ,Turkish Arespace,0,"A techcnology center of Turkey
Increasing the enginnersing capabilites
5th generations Aicraft Projects...
","Developing organisations
There are some organisational drawbacks
Advice to Management
leader must be more empatatic and they must give importance choching an mentoring
Helpfu","leader must be more empatatic and they must give importance choching an mentoring
Helpfu",5.0,4.0,4.0,4.0,5.0,4.0,Recommends,Positive Outlook,
Sun Dec 06 2020, Hpc Systems Administrator,Ankara,Current Employee ,Good Option in Ankara,0,"-Better salary than most companies in Ankara
-Flexible work hours
","-Far complex from city center
Helpfu",,4.0,,,,,,,,
Tue Nov 24 2020, Quality Engineer,,Former Employee ,Sector Leader of the Country,0,"good job related- training opportunities , friendly employees
","stressful work environment can sometimes be exhausting
Helpfu",,4.0,,,,,,Recommends,,
Sat Nov 28 2020, Engineer,Ankara,Former Employee ,Indian System,1,"Pays more than average salary
","Selfish employees, bad management, and terrible HR department.
Helpful (1",,2.0,1.0,1.0,1.0,2.0,2.0,Doesn't Recommend,Negative Outlook,
Sun Nov 08 2020, Senior Manufacturing Engineer,Ankara,Current Employee ,Great opportunity for a first job experience.,0,"Wide range of manufacturing capabilities.
","Management weaknesses at basic wrights.
Helpfu",,3.0,1.0,2.0,2.0,2.0,3.0,Recommends,Neutral Outlook,
Sun Oct 25 2020, Design Engineer,,Current Employee ,arbitrary,0,"getting experience, advanced systems, good working environment
","long distance to the city, long working hours
Helpfu",,3.0,,,,,,,,
Fri Oct 23 2020, Supportability Engineer,Ankara,Current Employee ,Weak,0,"Salary is medium, workload is avarage
","Too many people and forcing management
Helpfu",,2.0,,,,,,,,
Thu Nov 12 2020, Senior Financial Specialist,Ankara,Current Employee ,Don't!,0,"There are some people who are worth talking to.
","Workplace harassment with total impunity. Incompetent managers. Mostly maltreatment and depressed co-workers.
Advice to Management
Get rid of bad managers. Stop rampant workplace harassment. Improve physical conditions of workspaces.
Helpfu","Get rid of bad managers. Stop rampant workplace harassment. Improve physical conditions of workspaces.
Helpfu",1.0,1.0,1.0,1.0,1.0,2.0,Doesn't Recommend,Negative Outlook,
Tue Oct 06 2020, Senior IT Specialist,Ankara,Current Employee ,good company,0,"good in relations and good salary
","there is no time to for family
Helpfu",,4.0,2.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,
Mon Oct 19 2020, Software Engineer,Ankara,Current Employee ,Ask to your employer about whether they sign the contract or not.,0,"The single government-led company which produces spacecraft and aircraft.
","Doesn't respect people and understand their value.
Helpfu",,3.0,2.0,2.0,2.0,5.0,3.0,Doesn't Recommend,Negative Outlook,
Wed Sep 16 2020, Design Engineer,,Current Employee ,Working at TAI,0,"Competitive salary, special health insurance
","Long projects, Long bus ride
Helpfu",,4.0,,,,,,,,
