date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Fri Oct 09 2020, Manager,"Orlando, FL",Current Employee ,Great Place to Work,0,"Unlimited learning and growth opportunity
","Not much to say at this time
Helpfu",,5.0,,,,,,,,
Sun Oct 04 2020, Sales Specialist,,Former Employee ,Great benefits,0,"The company offers great benefits compared to others.
","I couldn't think of anything.
Helpfu",,4.0,4.0,2.0,1.0,3.0,4.0,Recommends,Positive Outlook,Approves of CEO
Sat Feb 29 2020,Anonymous,,Current Employee ,Cashier,0,"It was good job experience
","Nothing bad to say about it
Helpfu",,4.0,5.0,5.0,,,,,,
Fri Sep 20 2019, Cyber Security Analyst,,Former Employee ,Cyber Operations in Turkcell,0,"Company is very large and operations are fast
","Hands-on training for technical skills needs to be enhanced
Helpfu",,4.0,,,,,,,,
Mon May 14 2018,Anonymous,,Former Employee ,Upbeat working environment (marketing),0,"Dynamic teams, learning on the go, you can take on more responsibilities to prove yourself
","The leadership changed for the worst. The location is not in taksim anymore. You can be easily replaced.
Helpfu",,4.0,,,,,,,,
Tue Jul 18 2017,Anonymous,,Current Employee ,Product Manager,1,"One day home office opportunity per week, friendly collegues, good benefits
","Salary is not high, political pressure from the government is high.
Advice to Management
Freedom of discussion with high management is necessary. The company doesn't seem to value it's long term employees a lot. Career opportunities are very limited
Helpful (1","Freedom of discussion with high management is necessary. The company doesn't seem to value it's long term employees a lot. Career opportunities are very limited
",3.0,3.0,2.0,2.0,5.0,2.0,Recommends,Positive Outlook,No opinion of CEO
Wed Feb 01 2017,Anonymous,,Current Employee ,One of best,1,"There is no competition, so no pressure on sales teams
","it has been influenced by the government, so things are changing
Helpful (1",,3.0,5.0,3.0,3.0,4.0,3.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Sun Feb 21 2016,Anonymous,"West Chicago, IL",Current Employee ,Analyst,8,"Qualified people.
Good working hours: 07:30-16:30.
Side benefits: Smart phone once 3 years, additional bonus once a year, shopping bonus.
","Frequent organizational changes.
Political issues.
Low salary for jr-sr level.
Advice to Management
Give more value to your employees
Helpful (8","Give more value to your employees
",3.0,5.0,2.0,2.0,4.0,3.0,,,
Tue Feb 16 2016,Anonymous,,Former Employee ,Great Company,0,"Very good school to learn your job. You will be hired anywhere after working here.
","It's hard to change the department. There should be more career opportunities.
Helpful
Turkcell Response
April 18, 2016 – Talent Recruitment Specialist
Thank you for your response ! We have an internal hiring system where %90 of our positons are filled by internal candidates",,5.0,1.0,,,,,,,
Sun Jan 17 2016,N/A,, ,Good,0,"It's an amazing environment to work in. I think they are the best
","Nothing in particular. If you love it that's fine and if otherwise thats your choice
Advice to Management
Make it possible to reduce the price of some of the goods.
Helpfu","Make it possible to reduce the price of some of the goods.
Helpfu",5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Oct 14 2015,N/A,, ,paf team summer intern,0,"great working environment, great company culture,
","many employees were just killing time and not contributing much. also seemed pretty difficult to get promoted
",,4.0,,,,,,Recommends,Neutral Outlook,No opinion of CEO
Sat Sep 26 2015, Roaming Account Manager,"Pittsburgh, PA",Former Employee ,Good days are gone,5,"* TSAG, while it was managed by Yusuf, used to be a pro on its own
* Domestic & international reputation of the company
* Innovative nature
","* A lot of political & government influence
* Organizational mess
* Obsolete and jaded, underperforming people who have been with the company for 15 years
* New location
Advice to Management
Get rid of the political influence and people brought by this movement. Bring back Yusuf to lead TSAG and attract high quality HR.
Helpful (5","Get rid of the political influence and people brought by this movement. Bring back Yusuf to lead TSAG and attract high quality HR.
",3.0,4.0,2.0,4.0,4.0,1.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Mon Jan 04 2021, Cyber Security Engineer,Istanbul,Current Employee ,Good,0,"Good Compensation, lovely environment, good management
","Hardworking, long work hours, location
Helpfu",,5.0,,,,,,,,
Thu Dec 24 2020, Radio Network Optimization Engineer,Istanbul,Current Employee ,perfect,0,"sector leading, big, visioner, international, empowered by technology
","very loaded responsibilities, very complicated work relations
Helpfu",,5.0,5.0,5.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Wed Jan 06 2021, Financial Analyst,,Current Employee ,"New Tech, Old mentality",0,"*Tries to develop tech in new areas, not just a telco company but a tech company.

*Good benefits, above average pay.

*Fully remote during Covid.

*Great building in Küçükyalı.

*Latest model iPhone/Android and a nice laptop is given every some years.

*It is a great school to learn, responsibility from day one thing is real here.

*Above you will see a big list of cons BUT still, these are mostly the problems of the country in general, Turkcell is still a great place to work (in Turkey standards sadly!)

*Obviously great for career oppurtunities.
","*The mentality is all about money, the upper management mostly care about financials only. Not much attention given to value provided to customers.

*The prices devices are sold in Pasaj is ridiculous, the prices of data packages even more ridiculous. You would only buy these if you are ignorant to price tag or don't know about the current market or e-shopping. (I believe only elderly people prefers to shop from Pasaj, and the whole design is aimed at them, e.g. you can not see discount amount in percentage, ""50 TL discount!"" is merely a illusion for eyes)

*Above mentioned path Turkcell is following affects all the departments. Everyone is trying to save the day and not to appear bad to upper management's eyes. Nobody cares about customer. Nobody cares about other departments. Nobody cares about anything other than his/her annual performance.

*Government wants, Turkcell serves.

*They act like you desperately need to work in Turkcell. It's as if they are offering you their blessings and get nothing in return, hard work doesn't really get recognized.

*Too much corporate feel in business side, tech side might be different. Not really a good fit for 21st century.

*Gender equality and diversity inclusion is in really really bad situation. 

*Tech they release is mostly a copy of sector leaders' apps and they also feel like they appeal only to old people. Too much false hope given to useless apps (personal opinion).

*You can't close your laptop even at night. TOO MUCH OVERTIME (not paid). Work is only thing I can think from 07.30 until I sleep at night. It is very common you get job calls, mails, meetings, demands from managers even after 6 P.M. (They try not to bother you in holidays tho, they are still better than most of Turkish standards sadly...)
Advice to Management
Hey, we are not allowed to do this in Turkcell :)
Helpfu","Hey, we are not allowed to do this in Turkcell :)
Helpfu",4.0,1.0,1.0,1.0,5.0,4.0,Recommends,Neutral Outlook,No opinion of CEO
Tue Jan 05 2021, Senior Product Manager,Istanbul,Former Employee ,Great step for better opportunities,0,"Lots of opportunities and access to any kind of market
","Politically deformed, career planning is based on subjective oppinions
Helpfu",,3.0,,,,,,,,
Mon Jan 04 2021, User Experience Designer,Istanbul,Former Employee ,UX Designer at Turkcell,0,"Fun, fast environment, different projects
","Difficult to get promoted, not very freedom in designs
Helpfu",,4.0,5.0,5.0,4.0,4.0,5.0,Recommends,Positive Outlook,No opinion of CEO
Tue Dec 15 2020, Manager,Istanbul,Current Employee ,Good company,0,"strong infrastructures, comfort of the working environment
","procedures are excessive, hierarchical order is the reason for slowing down
Helpfu",,5.0,3.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Fri Dec 25 2020, Team Leader,Istanbul,Current Employee ,X,0,"1- Technology
2- Sector leader
3- Employee satisfaction
4- Salary 
5- Traning
Thats all
All pros
","Sector
Hierarchy
Grading
Slow for changing
İ dont know what else
Helpfu",,4.0,,,,,,,,
Thu Dec 24 2020, Senior Software Engineer,Istanbul,Current Employee ,A good place for work,0,"fringe benefits, broad opportunities and remote work
","Good relationships dominate promotion decisions
Helpfu",,4.0,3.0,4.0,3.0,4.0,3.0,Recommends,Neutral Outlook,
Thu Dec 24 2020,Anonymous,,Former Employee ,4/5,0,"Extra benefits as compared to other firms
","Low raise under inf rate
Helpfu",,4.0,5.0,4.0,3.0,4.0,5.0,,,
Thu Dec 10 2020, Senior Customer Experience Manager,"London, England",Current Employee ,First step into the digital world,0,"digital
considering his employee
Mobile work
social rights
free phone and internet
private health insurance and free transportation
Discounts for family members
Flexible working hours
","Improvement to staff-oriented separation processes
High number of meetings
Helpfu",,5.0,4.0,4.0,4.0,4.0,4.0,Recommends,Positive Outlook,Approves of CEO
Mon Dec 07 2020, Lead Strategist,"Esenyurt, Istanbul",Current Employee ,Lead Strategist,0,"open environment, nice people, technology
","slow company, burocratic, no carrier
Helpfu",,5.0,,,,,,,,
Tue Dec 22 2020, Senior IOS Developer,Istanbul,Former Employee ,Nice Company,0,"Turkcell have a lot of benefit which is about like private health insurance, cash bonus, conferences fee etc.
","Low salary compared to other companies.
Helpfu",,4.0,4.0,5.0,4.0,4.0,4.0,Recommends,Positive Outlook,
Tue Dec 15 2020, Sales Director,Istanbul,Former Employee ,Company overview,0,"Best telco company of those times
","Management issues and intransparent strategy
Helpfu",,3.0,,,,,,,,
Tue Jan 05 2021, Software Development Manager,Istanbul,Current Employee ,t,0,"High quality low price in turkcell
","Low salary for development team
Helpfu",,1.0,,,,,,,,
Tue Dec 15 2020, Analyst,Istanbul,Former Employee ,review,0,"A secure place to work and good benefits.
","Too much corporate life and bureaucracy
Helpfu",,3.0,3.0,3.0,3.0,3.0,3.0,,,
Tue Dec 15 2020, Product Manager,Istanbul,Former Employee ,not anymore the good old company that people mention about,0,"-latest flagship mobile phone and laptop computer
-one time a week home-office before covid
-you do not have any communication based bills, all taken care of
-good transportation network
-good health benefit at the office
-taksim office has the best location
-good retirement payment contribution
-high profile employees
","-not good promotion policy, it takes at least 4 years to get a title 
-hr does not care about feedbacks
-low salary compared to other industries and competitors
-very low raises, %5-9 in a year.
-unskilled and incapable team leaders (especially new ones), chosen without any feedbacks. senior managers just choose team leaders without even asking for the team feedbacks.
-you simply cannot improve your skills
-day starts at 7.30 a.m., literally at night
-very bad food court at kucukyali office
Helpfu",,2.0,4.0,3.0,2.0,1.0,4.0,Doesn't Recommend,Neutral Outlook,No opinion of CEO
Sat Dec 12 2020, Systems Analyst,Istanbul,Current Employee ,good place to work not the best,0,"makes its employees feel valuable
","there are poor promotion possibilities
Helpfu",,4.0,3.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Fri Dec 11 2020, Sales Representative,Istanbul,Former Employee ,Not bad,0,"Biggest Company of the tech and communication in Turkey
","High temp and effort & sale pressure
Helpfu",,4.0,,,,,,,,
Mon Nov 30 2020, Packet Core Engineer,Istanbul,Current Employee ,Network engineering at Turkcell,0,"Good place to improve your network knowledge.
","Some investments are slow due to Turkey’s current economic situation
Helpfu",,4.0,,,,,,,,
Tue Dec 01 2020, Data Center Engineer,,Current Employee ,unskilled labor,0,"there is no any pros
","technically does not add anything
Helpfu",,2.0,,,,,,,,
Mon Nov 16 2020, Software Engineer,Istanbul,Current Employee ,The Biggest Tech Company in Turkey,0,"Stable telecommunication infrastructure, new-tech digital services.
","A corporate company, so some processes are a little slower than start-up companies.
Advice to Management
The company should continue to adopt new technology standards.
Helpfu","The company should continue to adopt new technology standards.
Helpfu",4.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
