date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Nov 11 2019, Flight Attendant,,Former Employee ,Great Place to work,1,"Friendly people, High Paid Job
","Time constraints, Waking up early
Helpful (1",,5.0,,,,,,,,
Sat Jan 09 2021, Marketing Coordinator,,Former Employee ,good place,0,"good place to learn and practice
","needs some changes on upper management
Helpfu",,4.0,,,,,,,,
Thu Sep 17 2020, Account Manager,"Atlanta, GA",Former Employee ,bureaucratic company,0,"Wanted to be airline worker
","Too bureaucratic company to slow to take an action.
Advice to Management
Get rid of old fashion governmently managment syle
Helpfu","Get rid of old fashion governmently managment syle
Helpfu",2.0,1.0,1.0,1.0,4.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Feb 05 2020, Airport Customer Service,"Boston, MA",Current Employee ,sales and traffic agent,0,"the very nice working environment and experience
","15 days in 1-year maximum
Advice to Management
very strict and not bias
Helpfu","very strict and not bias
Helpfu",3.0,3.0,5.0,1.0,5.0,2.0,Recommends,Neutral Outlook,No opinion of CEO
Thu Jun 20 2019, PSA,"Houston, TX",Former Employee ,a good part time job,1,"the day go by fast
","sometimes they will give you work that is not your resposibility
Advice to Management
Please try to hire direct employees
Helpful (1","Please try to hire direct employees
",3.0,,,,,,,,
Mon Feb 18 2019, Engineer,,Former Employee ,Salary,1,"Good to start for salary
","There is no a good career management
Helpful (1",,4.0,4.0,3.0,3.0,5.0,3.0,Doesn't Recommend,Neutral Outlook,Approves of CEO
Mon Mar 04 2019, Senior Manager,,Former Employee ,I had several positions when I was working for Turkish,1,"The technology and methods being used by the employees are not high end, so it's easy for a qualified employee to show the skills.
","It's full of nepotism, office politics, and gossip.
Helpful (1",,2.0,3.0,2.0,1.0,3.0,2.0,Doesn't Recommend,Neutral Outlook,Disapproves of CEO
Fri Oct 05 2018,Anonymous,,Former Employee ,Human Resource Assistant,0,"Great place to work. Great Benefits
","Not too many but work place can be hectic sometimes.
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,,,
Mon Jul 23 2018,Anonymous,"New York, NY",Current Employee ,Marketing Representative,0,"Best company to work for.
- best health care insurance 
- good flight benefits
","So far there nothing bad to say
Advice to Management
Keep up the same performance
Helpfu","Keep up the same performance
Helpfu",5.0,4.0,5.0,5.0,5.0,,Recommends,,Approves of CEO
Sun Jul 22 2018,Anonymous,,Former Employee ,Marketing,0,"Great company with good benefits
","Low pay and no room for improvement
Advice to Management
Invest in your invaluable employees.
Helpfu","Invest in your invaluable employees.
Helpfu",3.0,3.0,2.0,1.0,5.0,2.0,,,
Wed Jun 13 2018, Marketing Representative,"New York, NY",Former Employee ,Ok place to be,4,"If you like to be in the aviation, it is an ok place to be. Its business is growing with many challenges. You will be exposed to a great audience and would get to know many people if you have any chance left from sefchicks:)
","If you have a competitive personality, if you are highly educated, if you speak different languages this place is not for you.
Advice to Management
There is nothing they can do to prevent to be hired of politically influential people’s under-educated and hardly-english-speaking boys and girls, especially in locations like New York and London. My advice to the management is good luck to them.
Helpful (4","There is nothing they can do to prevent to be hired of politically influential people’s under-educated and hardly-english-speaking boys and girls, especially in locations like New York and London. My advice to the management is good luck to them.
",2.0,4.0,1.0,1.0,3.0,2.0,Doesn't Recommend,Positive Outlook,No opinion of CEO
Sun Jun 17 2018, Cargo Manager,"Chicago, IL",Former Employee ,Stay away,4,"Flight benefits when space is available
","Bad management 
No opening position announcement 
No promotion guidance 
Discrimination between Turkish and local staff 
Disabled employee discrimination
Advice to Management
Advice to job seekers 
Stay away from TK
Helpful (4","Advice to job seekers 
Stay away from TK
",1.0,1.0,4.0,1.0,2.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Wed Aug 30 2017, Commercial Manager,"New York, NY",Former Employee ,Commercial Manager,0,"The company has a global footprint and ambitions to grow further. It is one of the best airlines in the world to work for.
","There is a large government ownership in the company which makes the procedures sometimes more bureaucratic than desired.
Helpfu",,4.0,5.0,4.0,5.0,4.0,5.0,Recommends,Positive Outlook,Approves of CEO
Tue Jul 25 2017,Anonymous,,Current Employee ,export specialist,0,"great people, great opportunities, good environment
","poor salary, politics inside the company
Helpfu",,4.0,4.0,5.0,4.0,3.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sat Jul 15 2017, Software Engineer,,Former Employee ,Turkish Airlines,0,"I have worked in Turkish Airlines more than 10 years. It is one of the biggest airlines companies in the world. Compensation and benefits are good , if you stay longer you get discounted flights.
","if you don't like aviation you may feel overwhelmed with the tasks, because flight operation goes 7/24
Helpfu",,4.0,4.0,4.0,4.0,4.0,3.0,Recommends,Positive Outlook,Approves of CEO
Wed Mar 29 2017,Anonymous,,Former Employee ,Cargo Manager,2,"Flight benefits and health insurance
","Bad upper management, nepotism, no career opportunities, they want you work 24/7 and not paying well.
Helpful (2",,2.0,1.0,1.0,1.0,2.0,1.0,Doesn't Recommend,,Disapproves of CEO
Wed Feb 08 2017,Anonymous,,Former Employee ,turkish airlines,5,"free or cheap airline tickets
","discrimination against women
discrimination against religion
discrimination against political affiliation
Advice to Management
be honest
be fair
Helpful (5","be honest
be fair
",3.0,4.0,1.0,1.0,3.0,1.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Tue Jan 17 2017,Anonymous,,Current Employee ,Nice Brand,0,"- You get to buy tickets really cheap, for you and your first degree relatives.
- Work with nice people
- You have an impact in the general operations.
","- Not much of salary raise
- For software engineers, there is not much of a career path to follow.
Advice to Management
You should provide your employees a career path that they feel challanged and will be rewarded if they are able to follow it.
Helpfu","You should provide your employees a career path that they feel challanged and will be rewarded if they are able to follow it.
Helpfu",4.0,5.0,5.0,3.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Tue Mar 29 2016,N/A,, ,Finance Intern,0,"It was a good environment with friendly people and very knowledgable. There are plenty of growth opportunities and the business is global.
","Nothing really, the company is great and I had a great time interning there. The heirarchy is a bit too much, but the rest is okay
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Thu Mar 10 2016,N/A,"Watertown, MA","Human Resources Assistant in Watertown, MA",Great place to work,1,"Everything! This is a great place to work.
","There is not much to stay.
Helpful (1",,5.0,,,,,,,,
